               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 113,            0.018118,               0.015,          0.00067913,             0.89112,             0.82432,             0.87924,             0.58216,            0.022493,            0.018405,           0.0026992,            0.004456,            0.004456,            0.004456
                 114,            0.018741,            0.015753,          0.00063677,             0.89812,             0.82413,             0.88588,             0.59411,            0.022588,            0.018777,           0.0022247,           0.0044065,           0.0044065,           0.0044065
                 115,            0.018164,            0.015295,          0.00068681,             0.90991,             0.81058,             0.88046,             0.58236,            0.022816,            0.018618,            0.002305,            0.004357,            0.004357,            0.004357
                 116,            0.017765,            0.014486,          0.00073956,             0.93836,             0.78177,             0.88044,             0.58246,            0.023233,            0.019387,           0.0022388,           0.0043075,           0.0043075,           0.0043075
                 117,            0.017308,            0.014075,          0.00074375,             0.92341,             0.77541,             0.87356,             0.58662,            0.022813,            0.019164,           0.0022976,            0.004258,            0.004258,            0.004258
                 118,            0.017597,            0.015017,           0.0006648,              0.8834,             0.83101,             0.88464,              0.5808,            0.022803,            0.018668,           0.0026402,           0.0042085,           0.0042085,           0.0042085
                 119,            0.017724,            0.015204,          0.00073174,             0.92209,             0.79353,             0.86664,              0.5846,            0.022663,            0.018831,           0.0031281,            0.004159,            0.004159,            0.004159
                 120,            0.018117,            0.014785,          0.00057498,             0.91113,             0.79189,             0.87409,              0.5894,            0.023015,            0.019002,           0.0029025,           0.0041095,           0.0041095,           0.0041095
                 121,            0.017056,            0.014719,          0.00057694,             0.93665,             0.76875,             0.86702,             0.58492,            0.023061,            0.019212,           0.0029159,             0.00406,             0.00406,             0.00406
                 122,            0.017773,            0.014985,          0.00072142,             0.89813,             0.82559,             0.88339,             0.59391,            0.022594,            0.018975,           0.0026568,           0.0040105,           0.0040105,           0.0040105
                 123,            0.017556,            0.015647,          0.00066646,             0.89974,             0.80103,             0.87451,             0.59884,            0.022502,            0.018706,           0.0030175,            0.003961,            0.003961,            0.003961
                 124,            0.017329,            0.015496,          0.00067513,             0.91787,             0.78909,             0.87931,             0.59177,             0.02249,            0.018936,            0.002972,           0.0039115,           0.0039115,           0.0039115
                 125,            0.017391,             0.01463,          0.00059727,             0.91093,              0.8032,              0.8799,             0.59247,            0.022643,            0.019068,           0.0033073,            0.003862,            0.003862,            0.003862
                 126,            0.017494,              0.0154,          0.00075019,             0.90879,             0.80621,             0.88656,             0.59456,            0.022578,            0.018988,           0.0031625,           0.0038125,           0.0038125,           0.0038125
                 127,            0.017445,             0.01478,          0.00068889,             0.92567,             0.80461,              0.8806,              0.5915,            0.022519,            0.018779,            0.002942,            0.003763,            0.003763,            0.003763
                 128,            0.016285,            0.014126,          0.00070715,             0.90763,             0.79628,              0.8822,             0.59239,            0.022627,            0.018981,           0.0029322,           0.0037135,           0.0037135,           0.0037135
                 129,            0.017022,            0.015136,          0.00058064,             0.86624,             0.81935,             0.87119,             0.58477,            0.022895,            0.019203,           0.0031257,            0.003664,            0.003664,            0.003664
                 130,            0.016685,            0.014328,          0.00051441,             0.88252,             0.80673,             0.87139,             0.58522,            0.023274,            0.019472,           0.0033844,           0.0036145,           0.0036145,           0.0036145
                 131,            0.017547,            0.014803,          0.00064137,             0.89203,             0.81978,             0.87283,             0.58915,            0.022584,            0.018634,           0.0028306,            0.003565,            0.003565,            0.003565
                 132,            0.016786,            0.014527,          0.00060702,             0.90918,             0.81263,             0.87845,             0.59635,            0.022777,            0.018671,           0.0029246,           0.0035155,           0.0035155,           0.0035155
                 133,            0.016565,            0.014721,          0.00066254,              0.9101,             0.80591,             0.88375,             0.59586,            0.022781,            0.019242,           0.0027814,            0.003466,            0.003466,            0.003466
                 134,            0.016118,            0.013958,          0.00071407,             0.89385,             0.81522,             0.88043,             0.59738,             0.02257,            0.018967,           0.0021603,           0.0034165,           0.0034165,           0.0034165
                 135,             0.01626,            0.014998,          0.00060473,             0.89055,             0.82708,              0.8817,             0.59471,            0.022492,            0.019016,           0.0020988,            0.003367,            0.003367,            0.003367
                 136,            0.015868,            0.013598,          0.00058637,             0.89851,             0.82304,             0.87884,             0.59024,            0.022323,            0.018993,           0.0021931,           0.0033175,           0.0033175,           0.0033175
                 137,            0.016603,            0.014087,          0.00057534,             0.91435,             0.79199,             0.87536,             0.59305,             0.02256,            0.019116,           0.0025926,            0.003268,            0.003268,            0.003268
                 138,            0.016092,            0.014412,          0.00056846,             0.89336,             0.84992,             0.88629,             0.59938,            0.022708,            0.019097,           0.0021906,           0.0032185,           0.0032185,           0.0032185
                 139,            0.016236,            0.014527,           0.0005612,             0.92223,             0.81341,             0.88524,             0.60157,            0.022337,            0.018992,           0.0024321,            0.003169,            0.003169,            0.003169
                 140,             0.01605,             0.01476,          0.00048894,             0.92131,             0.81341,             0.88728,             0.59245,            0.022669,            0.019133,           0.0028061,           0.0031195,           0.0031195,           0.0031195
                 141,            0.015887,            0.014379,          0.00056126,             0.90481,             0.82699,             0.87465,             0.59731,            0.022451,            0.019094,           0.0026332,             0.00307,             0.00307,             0.00307
                 142,            0.015795,            0.014043,          0.00056754,             0.89721,             0.82969,             0.88181,             0.59845,            0.022549,             0.01935,           0.0027119,           0.0030205,           0.0030205,           0.0030205
                 143,            0.016049,            0.014264,          0.00060083,             0.88054,             0.84157,             0.88716,             0.60341,            0.022209,            0.019087,           0.0027677,            0.002971,            0.002971,            0.002971
                 144,            0.015483,            0.014827,          0.00057097,              0.8908,             0.83285,             0.88564,             0.60003,            0.022491,            0.019422,           0.0026186,           0.0029215,           0.0029215,           0.0029215
